hasPassword,brandPresent,domainMismatch,domainLength,domainAge,specialCharCount,hasSensitiveField,numInputs,hasFileUpload,hasOTPField,label
0,1,1,17,37,5,1,8,0,0,1
0,1,0,16,72,3,0,5,0,1,1
1,1,1,7,136,6,0,7,0,0,1
0,1,0,16,407,1,1,11,0,0,0
1,1,0,9,147,1,1,13,0,1,0
0,0,0,13,147,3,1,8,0,0,1
0,1,1,11,85,0,1,5,0,0,1
0,0,0,12,369,0,0,2,0,0,0
0,1,1,9,20,3,0,5,0,1,1
0,1,0,7,1726,1,1,12,0,0,0
0,0,0,10,463,3,0,2,0,0,0
1,1,0,11,4476,1,0,3,0,0,0
0,0,0,11,49,1,0,9,0,0,0
0,0,1,7,19,2,0,7,0,0,1
1,1,0,14,1849,0,1,10,0,0,0
0,1,1,7,2613,3,1,8,1,0,1
0,0,0,15,3393,2,0,2,0,0,0
1,0,1,19,114,6,0,7,0,0,1
0,1,0,15,15,3,1,6,0,0,1
0,1,1,17,478,2,1,7,0,0,1
0,0,0,10,2615,1,0,1,0,0,0
0,1,1,16,137,0,1,2,0,0,1
0,0,1,8,105,1,0,1,0,1,1
0,1,0,8,1099,1,1,9,0,1,0
1,1,0,11,2855,0,0,3,0,0,0
1,1,0,19,38,5,0,7,0,0,1
0,0,0,13,61,3,1,8,0,0,1
1,1,0,15,1207,1,1,12,0,1,0
0,0,1,11,2757,7,0,3,0,0,1
0,0,0,9,413,1,0,3,0,0,0
0,0,0,5,445,1,0,3,0,0,0
1,1,0,14,96,1,1,10,0,0,0
0,1,0,15,996,0,1,3,0,0,0
1,0,1,14,11,2,0,3,0,0,1
0,0,0,15,29,0,0,12,0,0,0
0,1,1,6,115,3,0,4,0,1,1
0,1,1,8,613,3,0,4,0,1,1
0,1,1,14,69,7,1,7,1,0,1
0,1,0,12,30,1,1,6,0,1,0
1,1,1,19,162,5,0,3,0,0,1
0,0,0,15,2504,0,1,1,0,0,0
0,1,0,8,969,1,1,3,0,1,0
0,0,1,10,112,5,1,8,0,0,1
0,1,0,9,4589,0,1,12,0,0,0
1,1,0,18,2989,1,1,7,0,1,0
0,1,0,19,1643,1,1,3,0,0,0
0,0,0,12,2395,0,0,1,0,0,0
0,1,0,9,4536,3,1,4,0,0,0
0,0,1,10,95,2,1,8,0,0,1
1,0,1,13,1586,6,0,5,0,0,1
1,1,1,15,151,4,0,5,0,0,1
1,1,0,7,4228,0,1,4,0,0,0
1,1,0,17,3486,1,0,3,0,0,0
1,1,0,18,4671,0,0,12,0,0,0
0,1,0,12,4698,1,1,4,0,0,0
0,0,1,14,197,0,1,1,0,0,1
1,0,0,15,1222,2,1,7,0,0,0
0,0,1,5,149,5,1,5,0,0,1
1,1,0,13,4787,0,0,2,0,0,0
0,1,0,14,3902,0,1,5,0,0,0
0,1,0,14,3118,1,1,4,0,0,0
0,1,0,15,1762,0,1,4,0,0,0
0,0,0,8,3676,2,1,6,0,1,0
0,0,0,9,62,0,0,3,0,1,1
0,0,0,4,2907,2,1,6,0,0,0
0,1,1,6,70,2,0,4,0,1,1
0,1,0,4,103,0,1,6,0,0,0
0,0,0,16,103,2,1,6,1,0,1
0,0,0,18,13,3,1,9,1,0,1
0,1,0,11,5,3,0,3,0,1,1
0,0,0,10,896,1,0,2,0,0,0
0,1,0,12,2609,1,1,4,0,0,0
0,1,1,18,28,0,0,2,0,1,1
0,1,1,9,114,6,1,4,0,0,1
0,1,0,15,195,1,1,5,0,0,0
0,0,1,14,82,6,1,1,0,0,1
0,0,0,13,33,5,1,5,0,0,1
0,1,1,6,14,5,1,7,0,0,1
0,1,1,19,61,4,1,2,0,0,1
1,1,0,11,2321,1,1,5,0,0,0
0,0,1,6,95,0,1,4,0,0,1
1,1,0,17,116,0,0,6,0,0,1
0,0,1,13,53,3,0,9,1,0,1
0,1,0,14,60,0,1,3,0,1,0
0,1,0,10,3768,1,1,5,0,1,0
1,0,1,10,42,4,0,5,0,0,1
0,1,0,13,3363,1,1,8,0,1,0
0,1,0,14,2619,0,1,14,0,1,0
0,0,0,11,2571,1,1,5,0,0,0
1,1,0,19,152,0,0,4,0,0,1
1,1,0,12,3369,1,0,3,0,0,0
1,1,0,13,1903,0,1,3,0,0,0
1,1,0,15,3620,1,0,3,0,0,0
0,1,0,12,2110,1,1,4,0,0,0
1,1,1,11,1762,0,0,4,0,0,1
1,1,0,13,31,1,0,3,0,0,0
1,1,1,6,82,6,0,1,0,0,1
1,0,1,7,73,5,0,3,0,0,1
1,0,1,9,32,0,0,5,0,0,1
1,0,0,16,2367,2,1,10,0,1,0
0,1,1,5,92,2,1,3,0,0,1
0,1,0,5,880,2,1,10,0,1,0
0,0,0,10,4631,1,1,1,0,0,0
0,1,1,6,45,3,0,3,0,1,1
0,1,0,9,4202,0,1,6,0,1,0
1,1,0,9,4503,1,0,9,0,0,0
0,1,0,10,595,0,0,4,0,1,1
1,1,1,10,52,4,0,4,0,0,1
0,1,1,9,25,6,1,3,0,0,1
0,1,0,19,3060,1,1,4,0,0,0
0,1,0,11,2811,1,1,6,0,1,0
0,1,0,9,1636,2,1,11,0,1,0
0,1,1,18,36,3,1,10,1,0,1
0,1,0,12,173,1,1,5,0,0,0
0,0,0,10,2897,1,0,1,0,0,0
1,1,1,17,9,5,0,5,0,0,1
0,0,0,6,2641,0,0,3,0,0,0
1,0,1,11,137,2,0,6,0,0,1
1,1,0,11,2458,1,1,10,0,0,0
0,0,0,9,122,1,0,3,0,0,0
0,0,0,20,2505,7,1,2,1,0,1
0,1,1,16,88,3,1,1,0,0,1
1,1,0,16,2380,0,1,11,0,0,0
0,1,0,20,166,1,1,3,0,0,0
1,1,1,17,90,3,0,6,0,0,1
1,1,1,12,649,0,0,7,0,0,1
1,0,1,11,1700,0,0,7,0,0,1
0,0,1,13,104,3,0,5,0,1,1
1,0,1,10,21,6,0,3,0,0,1
0,1,0,13,4895,1,1,4,0,1,0
1,0,0,16,1217,3,0,6,0,0,1
1,0,0,16,3099,0,1,10,0,0,0
0,0,1,8,586,0,1,1,0,0,1
0,0,1,4,1195,3,1,2,1,0,1
1,1,0,10,87,0,0,2,0,0,0
0,0,1,17,1887,3,1,4,0,0,1
0,0,0,10,1656,4,0,8,0,0,1
0,1,0,12,3119,1,1,5,0,1,0
0,1,0,9,3101,0,1,3,0,1,0
0,1,1,15,47,5,1,10,1,0,1
0,1,0,18,8,0,1,2,0,0,1
0,1,0,18,2716,2,1,7,0,0,0
1,0,0,6,175,3,0,7,0,0,1
1,1,1,14,85,6,0,3,0,0,1
1,1,0,16,104,0,1,7,0,0,0
1,1,1,18,1105,1,1,7,0,0,0
0,1,0,19,3611,1,1,3,0,0,0
0,0,1,17,97,2,0,5,0,1,1
1,1,0,8,2067,0,0,2,0,0,0
0,1,1,14,44,0,1,7,0,0,1
1,1,0,13,16,2,1,7,0,0,0
0,0,1,15,91,4,0,5,0,1,1
1,1,0,11,3042,0,0,2,0,0,0
0,0,1,10,139,5,1,3,0,0,1
0,0,0,5,4115,3,0,1,0,0,0
0,0,0,12,3057,0,0,1,0,0,0
0,1,0,10,4541,2,1,4,0,1,0
0,1,0,14,692,1,1,5,0,0,0
0,1,0,11,60,1,1,12,0,0,0
0,1,1,16,1888,3,1,4,1,0,1
0,0,0,11,2648,2,1,2,0,0,0
0,1,1,13,141,4,1,7,0,0,1
0,1,0,8,4816,0,1,4,0,1,0
0,1,0,15,3990,0,1,8,0,1,0
0,0,0,14,161,1,1,2,0,0,0
1,1,0,16,24,1,0,4,0,0,0
0,1,0,11,100,5,1,8,1,0,1
0,1,0,17,37,1,1,9,0,1,0
1,0,0,11,3071,0,1,14,0,1,0
1,0,1,7,153,2,0,2,0,0,1
0,1,0,11,4211,1,1,9,0,1,0
1,1,0,11,137,2,1,9,0,1,0
0,1,1,9,8,4,0,2,0,1,1
0,1,0,14,55,3,1,3,0,1,0
0,0,0,12,127,1,1,2,0,0,0
0,1,0,9,4054,1,1,8,0,0,0
1,0,1,17,146,4,0,3,0,0,1
0,1,0,9,4274,0,1,3,0,0,0
1,0,1,9,57,6,0,6,0,0,1
0,0,0,15,2417,3,1,9,0,0,1
0,0,1,18,635,3,1,8,0,0,1
0,0,1,16,48,0,1,6,1,0,1
0,0,0,7,1964,1,0,1,0,0,0
1,1,0,19,128,1,0,12,0,0,0
0,1,0,13,404,0,1,4,0,1,0
0,0,0,15,12,1,0,3,0,0,0
0,0,1,12,63,3,1,5,0,0,1
1,1,0,15,2793,1,0,4,0,0,0
0,0,0,12,2475,1,1,7,0,0,0
0,1,0,15,1278,1,1,3,0,1,0
0,1,1,12,37,5,1,5,0,0,1
0,1,0,7,881,1,1,12,0,0,0
0,1,1,14,72,5,0,5,0,1,1
1,0,0,12,2181,1,1,14,0,1,0
0,0,0,10,49,2,0,5,0,1,1
1,0,1,5,126,0,0,1,0,0,1
0,1,1,11,54,2,1,8,0,0,1
1,1,1,12,175,4,0,3,0,0,1
1,1,0,15,3725,0,1,3,0,0,0
0,0,0,7,1813,2,0,8,0,0,1
0,0,1,9,145,5,1,3,0,0,1
0,0,0,9,102,2,1,8,0,0,1
0,0,1,15,787,0,1,3,0,0,1
0,0,0,10,187,3,1,12,0,0,1
1,0,0,15,119,1,1,10,0,1,0
1,1,0,11,2027,0,1,6,0,0,0
1,1,0,14,91,1,1,8,0,1,0
0,1,0,16,4494,0,1,3,0,0,0
0,1,0,13,2725,0,1,10,0,1,0
0,0,0,14,737,1,1,5,0,0,0
0,0,1,7,77,5,0,5,0,1,1
0,1,0,8,908,2,1,11,0,1,0
1,1,0,15,4620,0,0,4,0,0,0
1,1,0,13,4071,1,1,3,0,0,0
0,1,0,19,81,0,1,5,0,1,0
1,0,0,12,168,5,0,4,0,0,1
0,0,1,14,88,3,1,9,1,0,1
0,0,0,13,376,1,0,7,0,0,0
0,0,1,9,88,4,1,8,1,0,1
0,1,0,15,686,0,1,14,0,0,0
0,0,1,9,151,2,1,9,0,0,1
0,1,1,7,35,0,1,4,0,0,1
0,0,1,13,112,2,0,3,0,1,1
0,1,0,18,3092,1,1,6,0,1,0
0,0,0,9,3968,0,1,13,0,0,0
1,1,0,9,1589,0,0,4,0,0,0
1,1,0,18,1048,0,0,6,0,0,0
0,0,0,10,164,1,0,11,0,0,0
0,0,0,19,1376,0,1,7,0,0,0
0,1,0,8,3058,0,1,6,0,1,0
0,1,0,20,2087,1,1,10,0,1,0
1,0,0,12,3943,2,1,11,0,1,0
1,0,0,15,2372,0,1,13,0,1,0
1,1,0,14,1477,0,1,3,0,0,0
1,1,0,15,2392,0,1,4,0,0,0
0,1,0,10,615,0,1,5,0,0,0
1,1,0,15,3469,1,0,4,0,0,0
1,0,0,14,19,2,0,3,0,0,1
0,1,0,9,439,0,1,3,0,0,0
0,1,0,7,3237,1,1,8,0,0,0
0,0,1,7,76,0,0,3,0,1,1
1,0,0,7,3375,2,1,10,0,1,0
1,1,0,15,919,1,1,3,0,0,0
0,0,0,11,1299,2,0,11,0,0,1
0,1,0,11,25,1,1,4,0,1,0
0,0,0,16,143,1,1,2,0,0,0
1,1,0,11,110,1,0,3,0,0,0
0,1,1,7,26,2,0,2,0,1,1
1,1,0,10,2767,1,0,4,0,0,0
1,1,0,5,2704,1,1,11,0,1,0
0,1,1,7,2990,3,1,4,0,0,1
1,1,0,6,3385,0,1,12,0,0,0
0,1,0,7,133,1,1,4,0,0,0
0,1,0,14,3438,1,1,5,0,1,0
0,0,0,6,192,1,1,7,0,0,1
0,0,1,18,1894,0,0,7,1,0,1
0,1,0,12,91,0,1,4,0,0,0
0,0,1,13,15,4,1,9,1,0,1
1,0,0,8,3875,2,1,9,0,1,0
0,0,0,4,1695,1,0,2,0,0,0
0,0,0,14,42,1,0,5,0,0,0
1,1,0,5,1032,0,0,2,0,0,0
0,0,1,19,70,7,1,9,1,0,1
1,1,1,9,29,2,0,7,0,0,1
0,0,0,7,1350,0,0,10,0,0,0
0,1,1,9,86,6,1,5,0,0,1
1,1,0,20,170,0,0,4,0,0,0
1,1,0,14,595,0,1,2,0,0,0
1,1,0,10,4286,1,0,3,0,0,0
0,0,0,11,97,3,1,8,0,0,1
0,0,0,18,67,0,0,4,0,0,1
0,1,0,10,1075,0,1,5,0,0,0
1,1,0,17,12,1,0,2,0,0,0
0,0,0,14,4018,1,0,2,0,0,0
1,1,1,15,1263,4,0,7,0,0,1
0,0,0,14,4428,1,1,12,0,0,0
1,1,0,17,1686,0,0,11,0,0,0
0,0,1,8,20,5,1,8,0,0,1
0,0,1,9,10,3,0,3,0,1,1
0,1,0,9,87,2,1,10,0,0,0
0,0,0,12,40,0,1,8,1,0,1
1,0,1,9,1087,3,0,3,0,0,1
1,1,0,9,1282,1,0,4,0,0,0
0,0,1,8,114,4,0,3,0,0,1
0,1,0,6,18,4,1,8,1,0,1
0,1,0,17,93,0,1,3,0,1,0
0,1,0,13,182,0,1,3,0,1,0
0,1,0,15,4471,0,1,3,0,1,0
0,0,1,5,70,3,1,9,1,0,1
0,0,0,19,116,0,1,9,0,0,0
1,0,1,17,151,2,0,4,0,0,1
0,0,1,13,97,0,1,4,0,0,1
0,1,0,8,423,1,1,4,0,0,0
0,1,0,9,2360,0,1,4,0,1,0
0,1,0,7,3808,1,1,6,0,1,0
0,1,0,17,645,0,1,5,0,1,0
1,1,0,6,1767,0,1,3,0,0,0
0,0,1,6,95,5,0,2,0,1,1
1,0,0,5,17,4,0,7,0,0,1
0,1,0,7,3247,0,1,3,0,0,0
1,1,1,7,58,0,0,7,0,0,1
0,1,0,20,3675,0,1,6,0,1,0
0,1,0,7,1805,0,1,4,0,1,0
0,0,1,11,111,1,0,3,0,1,1
0,0,0,15,407,0,1,1,0,0,0
0,0,1,13,52,5,0,3,1,0,1
1,1,0,5,1139,1,0,2,0,0,0
1,1,0,15,133,0,0,5,0,0,0
0,1,1,15,21,2,1,6,0,0,1
1,0,1,9,138,4,0,4,0,0,1
0,1,0,15,2283,0,1,3,0,1,0
0,0,0,17,32,0,0,2,0,1,1
0,1,1,6,46,2,0,2,0,1,1
1,1,1,19,4448,1,0,2,0,0,0
1,0,1,9,95,3,0,3,0,0,1
0,0,1,11,141,6,1,8,0,0,1
1,1,0,13,3343,1,0,3,0,0,0
0,1,1,12,31,0,1,3,0,0,1
1,0,0,10,174,4,0,6,0,0,1
0,1,0,9,133,0,1,3,0,0,0
0,1,0,15,4521,0,1,6,0,1,0
1,0,1,15,87,3,0,5,0,0,1
0,1,1,10,91,2,0,5,0,0,1
0,0,0,5,29,0,0,2,0,0,0
0,1,0,9,933,0,1,4,0,1,0
1,1,1,14,99,6,0,4,0,0,1
1,1,0,13,4203,0,0,3,0,0,0
0,0,0,10,1979,0,1,9,0,1,0
0,1,0,12,410,1,1,4,0,1,0
1,1,0,5,662,0,0,11,0,0,0
0,1,0,15,2454,1,1,4,0,1,0
0,1,1,15,101,5,1,4,1,0,1
0,1,0,11,3171,1,1,5,0,0,0
0,1,1,10,87,2,0,8,0,0,1
0,1,0,19,682,0,1,10,0,0,0
0,0,0,7,4798,0,0,2,0,0,0
1,1,1,10,121,4,0,4,0,0,1
0,1,0,16,4216,0,1,5,0,1,0
0,1,1,17,106,4,1,3,0,0,1
0,0,0,15,216,0,1,10,0,1,0
1,0,0,14,762,0,1,11,0,1,0
1,1,0,8,3390,1,1,7,0,0,0
1,1,1,8,173,3,0,4,0,0,1
1,1,0,10,1697,1,1,9,0,0,0
0,1,1,19,1825,0,0,6,1,0,1
1,1,1,5,14,2,0,4,0,0,1
0,1,1,10,35,2,0,3,0,1,1
1,1,0,4,92,1,0,5,0,0,0
0,1,0,13,1962,0,1,4,0,1,0
1,1,0,14,2681,1,0,7,0,0,0
0,1,0,13,92,2,0,5,0,1,1
0,0,0,7,580,1,0,7,0,0,0
1,1,0,16,2542,1,0,3,0,0,0
1,0,0,11,809,1,1,10,0,0,0
0,1,0,10,2317,1,1,12,0,0,0
1,1,0,6,2972,1,0,4,0,0,0
0,0,0,11,4235,0,0,12,0,0,0
0,1,0,10,4157,0,1,3,0,0,0
1,1,0,11,78,0,0,3,0,0,1
0,0,0,9,45,3,0,1,0,0,1
0,0,1,9,154,5,1,9,0,0,1
0,0,0,10,19,1,0,2,0,0,0
0,0,1,18,880,1,0,3,0,1,1
1,0,0,14,2343,1,1,9,0,1,0
1,1,0,17,1906,0,0,3,0,0,0
0,0,1,11,9,3,0,3,0,1,1
0,1,0,12,4193,1,1,3,0,1,0
0,1,0,14,159,0,1,6,0,0,0
1,1,0,19,151,5,0,7,0,0,1
1,1,0,10,1550,0,0,2,0,0,0
0,1,1,12,19,4,0,2,0,0,1
1,1,0,16,1529,0,0,3,0,0,0
0,0,0,9,4328,1,0,5,0,0,0
0,0,1,7,75,5,1,6,1,0,1
0,0,0,8,683,1,0,7,0,0,1
0,0,1,10,102,0,1,6,0,0,1
1,1,0,15,3690,0,1,4,0,0,0
0,1,1,10,1179,2,1,2,0,0,1
1,1,0,10,736,0,1,9,0,1,0
0,1,0,16,3471,0,1,4,0,0,0
1,0,0,11,3207,1,1,14,0,1,0
0,1,1,8,108,3,1,7,1,0,1
0,0,0,6,103,5,1,3,0,0,1
1,1,0,12,4130,0,0,4,0,0,0
0,0,0,14,192,1,0,2,0,0,0
0,1,0,14,178,0,1,4,0,0,0
1,0,0,6,44,0,0,2,0,0,1
1,1,0,11,2369,1,0,4,0,0,0
1,1,1,13,35,6,0,7,0,0,1
0,0,0,8,44,1,0,3,0,1,1
0,0,1,7,86,3,1,5,0,0,1
1,1,0,15,2670,0,0,4,0,0,0
0,1,1,9,90,4,0,7,0,0,1
0,0,1,11,75,5,0,5,1,0,1
1,1,0,12,4940,1,1,2,0,0,0
0,1,1,14,11,2,0,4,0,1,1
0,1,0,8,1551,0,1,6,0,1,0
1,0,1,13,52,4,0,2,0,0,1
0,0,1,10,16,7,0,9,1,0,1
0,1,0,16,3060,2,1,4,0,1,0
0,1,0,5,1726,1,1,6,0,1,0
0,0,0,12,1293,0,0,1,0,0,0
0,0,0,8,3316,0,0,1,0,0,0
1,1,1,10,78,6,0,4,0,0,1
0,0,1,8,106,7,1,2,1,0,1
0,1,0,20,23,4,0,5,0,1,1
1,0,1,18,2743,6,0,6,0,0,1
1,1,0,7,2055,0,0,3,0,0,0
1,1,0,14,127,1,1,2,0,0,0
1,1,0,16,4595,0,0,2,0,0,0
0,1,0,14,2546,2,1,9,0,0,0
0,1,0,6,1955,0,1,3,0,1,0
0,0,0,13,967,0,1,8,0,0,0
0,0,0,11,1014,1,0,1,0,0,0
0,0,1,13,83,5,0,1,0,0,1
0,1,0,18,4429,0,1,4,0,1,0
0,1,0,8,1808,1,1,7,0,1,0
0,1,0,7,4632,1,1,5,0,0,0
1,1,0,16,2551,0,1,7,0,0,0
1,1,0,10,1877,1,0,6,0,0,0
1,1,0,12,797,0,1,8,0,0,0
0,1,0,14,3225,1,1,5,0,1,0
1,1,1,15,66,0,0,5,0,0,1
0,0,1,16,85,0,0,3,0,1,1
0,1,0,16,4009,1,1,11,0,1,0
1,1,0,15,2559,0,0,4,0,0,0
1,1,0,16,2401,2,0,6,0,0,0
0,1,0,19,3999,1,1,4,0,1,0
0,1,1,10,118,3,0,3,0,1,1
1,0,1,11,121,6,0,7,0,0,1
0,1,0,14,2653,0,1,9,0,1,0
0,0,1,18,28,0,1,3,0,0,1
0,0,1,19,2395,5,1,10,0,0,1
0,1,1,14,95,2,0,6,0,0,1
0,1,0,15,4500,1,1,10,0,1,0
1,0,0,9,101,2,1,7,0,1,0
0,0,0,11,52,2,0,6,0,0,1
0,1,0,18,4151,1,1,5,0,1,0
0,0,1,13,101,3,1,3,0,0,1
0,0,0,18,4874,1,1,1,0,0,0
0,1,0,14,1885,3,1,6,0,1,0
0,0,0,10,4347,1,0,5,0,0,0
1,1,0,9,183,0,0,2,0,0,0
0,1,1,9,42,2,0,1,0,0,1
1,1,0,14,2445,1,1,12,0,0,0
0,1,0,8,3973,0,1,11,0,1,0
0,0,0,12,3227,1,0,12,0,0,0
0,1,1,4,149,6,1,6,0,0,1
0,0,0,9,2409,0,1,6,0,0,0
0,1,1,18,23,0,1,1,0,0,1
1,1,1,17,2710,2,0,5,0,0,1
0,1,0,12,722,1,1,5,0,1,0
0,1,0,14,3762,0,1,13,0,1,0
0,0,1,10,111,3,1,1,0,0,1
1,1,0,14,2772,1,1,4,0,0,0
0,1,0,5,2206,0,1,6,0,1,0
1,1,0,6,1454,1,0,8,0,0,0
0,0,0,15,719,2,0,3,0,0,0
1,1,0,6,539,1,0,2,0,0,0
0,0,0,9,4433,0,1,8,0,0,0
0,1,0,14,2184,5,1,8,1,0,1
0,1,0,14,146,3,1,6,0,0,1
0,0,0,13,4222,1,1,10,0,0,0
0,0,0,7,1015,1,1,3,0,0,1
1,1,1,14,105,4,0,3,0,0,1
0,0,0,13,4200,1,1,2,0,0,0
0,1,0,9,191,0,1,6,0,1,0
1,1,0,6,1331,1,0,12,0,0,0
1,0,1,13,38,2,0,3,0,0,1
0,0,0,14,2034,0,1,3,0,0,0
0,0,0,11,1396,3,0,5,1,0,1
0,1,0,8,2825,1,1,5,0,0,0
1,0,0,16,78,3,1,7,0,0,0
1,1,0,13,3416,1,1,12,0,1,0
0,0,0,18,2147,0,0,11,0,0,0
0,1,1,9,18,0,0,3,0,1,1
1,1,1,9,99,0,1,13,0,1,0
1,0,1,15,171,4,0,3,0,0,1
0,0,1,11,115,3,1,7,0,0,1
0,0,1,9,31,5,0,3,0,1,1
0,0,0,5,1599,1,0,3,0,0,0
1,1,0,14,1791,1,0,2,0,0,0
0,0,0,13,124,6,1,5,0,0,1
0,0,1,15,2206,0,1,10,1,0,1
0,0,1,14,2082,2,0,4,0,1,1
0,0,0,16,3895,2,0,3,0,0,0
0,1,0,6,3403,1,1,11,0,0,0
1,1,1,9,114,4,0,3,0,0,1
0,0,1,14,93,7,0,4,1,0,1
0,1,0,19,34,1,1,6,0,1,0
1,1,0,10,3419,1,0,2,0,0,0
1,1,1,6,102,6,0,4,0,0,1
0,0,1,12,78,0,0,5,0,0,1
1,0,1,8,146,0,0,5,0,0,1
0,1,0,7,1327,0,1,6,0,1,0
1,1,0,12,2009,2,1,12,0,1,0
1,1,1,11,103,0,0,3,0,0,1
1,1,0,9,2970,2,1,7,0,0,0
0,0,0,12,915,1,1,3,0,0,0
1,1,0,15,1545,2,0,11,0,0,0
0,1,0,6,2630,0,1,5,0,0,0
0,1,0,10,2962,0,1,4,0,0,0
0,1,1,15,72,2,0,3,0,1,1
1,0,1,15,91,2,0,3,0,0,1
0,1,0,18,2130,1,1,11,0,0,0
0,0,1,16,1864,3,1,6,0,0,1
0,1,0,16,1928,1,1,6,0,1,0
0,1,0,8,13,5,0,6,0,0,1
1,1,0,13,534,1,0,6,0,0,0
0,0,0,8,3913,1,1,8,0,0,0
1,0,1,18,168,2,0,5,0,0,1
1,1,0,8,1628,0,0,4,0,0,0
0,0,0,16,1667,0,1,2,0,0,0
0,1,0,14,1603,1,1,3,0,1,0
0,0,0,17,3750,1,0,6,0,0,0
1,0,0,11,26,5,0,6,0,0,1
0,0,1,9,92,6,1,9,0,0,1
0,1,0,6,199,1,1,4,0,0,0
0,0,0,11,3551,1,0,2,0,0,0
0,0,0,14,2232,1,1,11,0,0,0
1,0,1,17,36,2,1,14,0,0,0
1,1,0,14,2703,0,0,6,0,0,0
0,1,0,7,3503,1,1,3,0,0,0
1,1,1,8,95,4,0,6,0,0,1
1,0,0,16,2041,1,1,12,0,1,0
0,1,1,10,2040,3,0,4,0,1,1
0,1,0,7,30,0,1,9,0,0,0
